study,location,Z,I,D,C,B,A,E
SUMMER,CN,0.13,0.12,0.25,0.06,0.12,0.14,0.18
SUMMER,MAE,0.13,0.12,0.23,0.07,0.12,0.18,0.16
SUMMER,MAW,0.14,0.10,0.25,0.08,0.13,0.15,0.14
SUMMER,ME,0.17,0.12,0.19,0.09,0.12,0.15,0.16
SUMMER,NH,0.17,0.13,0.18,0.08,0.12,0.16,0.16
SUMMER,RI,0.14,0.11,0.26,0.07,0.13,0.15,0.14
SUMMER,VT,0.16,0.12,0.19,0.10,0.11,0.17,0.15
SUMMER,ALL,0.14,0.12,0.23,0.07,0.12,0.16,0.16
SPRING,CN,0.28,0.11,0.09,0.07,0.10,0.15,0.20
SPRING,MAE,0.26,0.13,0.09,0.07,0.10,0.15,0.20
SPRING,MAW,0.27,0.11,0.09,0.08,0.10,0.16,0.20
SPRING,ME,0.30,0.11,0.08,0.09,0.09,0.14,0.19
SPRING,NH,0.30,0.12,0.08,0.08,0.10,0.14,0.19
SPRING,RI,0.25,0.12,0.09,0.07,0.10,0.15,0.19
SPRING,VT,0.28,0.12,0.08,0.08,0.10,0.15,0.18
SPRING,ALL,0.27,0.12,0.09,0.08,0.10,0.15,0.19